treat	lictec2	motivation	barriers	consiglio_lictec2	stdmatIII	stditaIII	school	perc_participation_orient	perc_participation_calp	perc_participation	late	female	immigrato_prima_gen	stdinvalsiI	stdinvalsiI_2	province	educmother	occmother	educfather	occfather	citizenship
0	0			1			5				0	1	1	-.2788404	.077752	2	4	5	4	5	3
0	0			0	-1.399596	-1.555945	112				1	0	1	.3010338	.0906214	1	1	3	1	1	4
0	0			0			82				1	0	1	.4475954	.2003417	3	4	5	4	5	1
1	0			1			121	0	0	0	1	1	1	-.2472148	.0611151	4	4	5	4	5	1
1	0			0	-.2075111	-.9601645	115	.3846154	.3103448	.3333333	0	1	1	-.4445504	.197625	4	2	2	2	2	4
0	0			0			132				1	1	1	-.138651	.0192241	4	4	5	4	5	4
0	0			0	-.5651366	-.8608677	47				1	1	1	-.4700075	.2209071	3	2	2	4	2	4
0	0	-.6392855	.2592199	1	-.6843451	-1.158758	1				0	0	0	.1289832	.0166367	2	3	1	3	1	3
0	0			0	.7461569	-1.158758	19				1	0	1	.2436835	.0593817	2	2	3	2	2	3
0	0			0			28				1	0	1	-1.209188	1.462135	5	4	5	4	5	1
1	0			0			42	.5384616	0	.2333333	1	0	1	.9764531	.9534607	3	4	5	4	5	2
1	0	-.5082234	.4745701	0	.1501142	.8271752	142	.3846154	.3448276	.3571429	0	1	0	-.5400959	.2917036	4	3	2	3	2	2
0	0			0	-2.71089	-1.655241	9				0	0	1	-.8778311	.7705874	2	3	3	3	4	2
0	0			0	-1.757222	-.9601645	138				0	0	0	-.1960013	.0384165	4	3	4	3	2	2
0	0			0	-.6843451	-1.555945	91				1	1	0	-.3680517	.135462	3	3	4	4	4	3
1	0	-1.057523	-.211129	0	-.2075111	-.6622744	65	1	.4137931	.5952381	0	0	0	-.0686138	.0047078	3	2	3	4	5	1
0	0			0	-.445928	-1.555945	73				1	0	0	-.2979571	.0887784	3	2	3	2	4	1
0	0			0	-1.161179	.7278786	34				0	0	0	.3137781	.0984567	5	4	5	4	5	2
1	0	.6775531	-.3584987	1	1.699825	.6285821	115	.8461539	.9411765	.9	0	0	0	1.39704	1.951721	4	2	3	2	2	4
0	0	-.7812268	-.2148294	0	-1.161179	-1.059461	6				0	0	0	-.7567586	.5726835	2	3	3	3	2	4
0	0	.5654196	-.2660151	0	.6269484	-.8608677	92				0	0	1	.1353555	.0183211	3	2	3	2	2	1
0	0	-1.046481	-.1187594	0	-.2075111	-.1657912	6				0	1	0	.3201505	.1024964	2	2	3	2	2	3
1	0			0			63	.5384616	0	.2333333	1	0	0	1.403285	1.969209	3	4	5	4	5	3
0	0			0	-1.041971	-.6622744	53				1	0	1	-.4126574	.1702862	3	2	2	2	4	4
1	0			0			24	0	0	0	0	1	0	.9061992	.8211969	2	4	5	4	5	3
1	0	-.0844524	.2871056	0			64	.9230769	.8965517	.9047619	0	0	0	-.45704	.2088856	3	4	5	4	5	2
0	0	-.7278804	-.3962584	0	-1.399596	-.5629779	45				0	0	0	-.4254017	.1809666	3	3	4	4	5	1
0	0			1	2.295867	1.422955	70				0	0	1	1.008353	1.016775	3	2	2	2	4	4
1	0			0			101	.2307692	.137931	.1666667	1	0	1	-.4064573	.1652075	3	4	5	4	5	1
0	0			0			37				0	1	0	-.1896289	.0359591	3	4	5	4	5	3
1	0	-.4916738	-.0513112	0	-1.161179	-1.258054	134	.9230769	.7413793	.797619	1	0	1	-.0748585	.0056038	4	2	3	2	5	4
0	0			1			37				0	1	1	-.2214901	.0490579	3	4	5	4	5	4
1	0	.6623303	.1252209	1	.7461569	.6285821	122	.9230769	1	.9761904	0	0	1	.383822	.1473193	4	3	4	3	2	2
1	0			1	-1.280388	-1.456648	68	0	0	0	0	0	1	-.463597	.2149222	3	2	2	2	4	4
1	0			0			134	.3076923	.2413793	.2619048	0	0	1	-.3680517	.135462	4	4	5	4	5	3
1	0	.6775531	-.3584987	1	-.445928	.6285821	135	1	.8235294	.9	1	1	1	.8234558	.6780795	4	3	1	2	2	4
1	0			0			104	.4615385	.3793103	.4047619	0	1	1	.4728103	.2235496	1	4	5	4	5	4
0	0			0			16				1	0	1	-.7758753	.6019824	2	4	5	4	5	4
0	0			0			6				0	0	0	.6897405	.4757419	2	4	5	4	5	2
0	0			0			17				1	0	1	-.6038246	.3646041	2	4	5	4	5	4
0	0			0			39				0	1	1	-.2533513	.0641869	3	4	5	4	5	4
0	0			0	.1501142	-.5629779	15				1	0	0	.7152295	.5115532	2	3	3	2	2	2
0	0			0			138				0	0	1	-.4763799	.2269378	4	4	5	4	5	2
1	0			0			71	.5384616	.3793103	.4285714	1	0	1	.0971858	.0094451	3	4	5	4	5	2
1	0	-.7386195	-.0937393	0	-1.280388	-1.953131	97	1	.9310345	.952381	0	0	1	-.470154	.2210448	3	3	3	3	2	1
0	0	-.372406	.0727653	0	-1.161179	-.4636813	98				0	0	1	-.2852125	.0813462	3	4	2	4	2	1
1	0	.2663476	-.1270568	0	.5077398	-1.754538	81	.9230769	.7586207	.8095238	0	0	1	.2498711	.0624355	3	1	1	2	1	4
0	0			0	.2693228	-.9601645	31				0	0	1	-.3616795	.1308121	5	3	2	2	2	1
1	0	-.5518507	.3471653	0			101	.9230769	.862069	.8809524	1	0	1	-.9097878	.8277139	3	4	5	4	5	4
0	0			0	-1.757222	.0328019	14				1	0	1	.230939	.0533328	2	2	2	2	1	4
1	0	.1919581	.2797779	0	-.6843451	.8271752	81	.9230769	.8965517	.9047619	0	0	0	-.0367652	.0013517	3	2	1	1	3	1
1	0			0			42	.5384616	.2068966	.3095238	1	1	1	-.1067068	.0113863	3	4	5	4	5	4
