"","treat","lictec2","motivation","barriers","consiglio_lictec2","stdmatIII","stditaIII","school","perc_participation_orient","perc_participation_calp","perc_participation","late","female","immigrato_prima_gen","stdinvalsiI","stdinvalsiI_2","province","educmother","occmother","educfather","occfather","citizenship","preds","sqrt","excesserror","debiasederror","mom_working_class","mom_high_class","mom_home","mom_unemp","mom_miss","dad_working_class","dad_high_class","dad_home","dad_unemp","dad_miss","mom_educ_uni","mom_educ_hs","mom_educ_lhs","mom_educ_mis","dad_educ_uni","dad_educ_hs","dad_educ_lhs","dad_educ_mis","std_cit_latin","std_cit_afric","std_cit_asia","std_cit_easteur","province_pd","province_bs","province_mi","province_to","province_ge"
"1",0,0,NA,NA,1,NA,NA,"5",NA,NA,NA,0,1,1,-0.2788404,0.077752,"2","4","5","4","5","3",0.0936767196158649,0.0691096692911881,6.89232377279642e-07,0.282731343843748,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
"2",0,0,NA,NA,0,-1.399596,-1.555945,"112",NA,NA,NA,1,0,1,0.3010338,0.0906214,"1","1","3","1","1","4",0.0807463224387588,0.0408509611062503,5.28882750352237e-07,0.599009284548483,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"3",0,0,NA,NA,0,NA,NA,"82",NA,NA,NA,1,0,1,0.4475954,0.2003417,"3","4","5","4","5","1",0.0758700755646495,0.051790893853234,5.58803326700748e-07,0.455514751878258,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
"4",1,0,NA,NA,1,NA,NA,"121",0,0,0,1,1,1,-0.2472148,0.0611151,"4","4","5","4","5","1",0.120732360277272,0.080465392047679,5.91938213812892e-07,0.318041400379229,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
"5",1,0,NA,NA,0,-0.2075111,-0.9601645,"115",0.3846154,0.3103448,0.3333333,0,1,1,-0.4445504,0.197625,"4","2","2","2","2","4",0.0119621251579548,0.0645247917798069,5.69208082997521e-07,0.616461445616725,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"6",0,0,NA,NA,0,NA,NA,"132",NA,NA,NA,1,1,1,-0.138651,0.0192241,"4","4","5","4","5","4",0.0449625159563183,0.0804546681856265,7.83355161058116e-07,0.347460134903364,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"7",0,0,NA,NA,0,-0.5651366,-0.8608677,"47",NA,NA,NA,1,1,1,-0.4700075,0.2209071,"3","2","2","4","2","4",0.000734935907175644,0.0628956884756704,6.8665674611893e-07,0.534427433362088,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"8",0,0,-0.6392855,0.2592199,1,-0.6843451,-1.158758,"1",NA,NA,NA,0,0,0,0.1289832,0.0166367,"2","3","1","3","1","3",0.123983165437416,0.0409898083978658,5.01657237353667e-07,0.601869187697397,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"9",0,0,NA,NA,0,0.7461569,-1.158758,"19",NA,NA,NA,1,0,1,0.2436835,0.0593817,"2","2","3","2","2","3",0.0889903061193498,0.042903209817673,4.12796801138992e-07,0.639710339332176,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"10",0,0,NA,NA,0,NA,NA,"28",NA,NA,NA,1,0,1,-1.209188,1.462135,"5","4","5","4","5","1",-0.0353425064327247,0.0999789541316606,6.22117823189399e-07,0.143677245902504,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
