		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	lictec2	lictec2	lictec2	lictec2	lictec2	lictec2
							
treat_schoolxtop10	treat_schoolxtop10	0.144	0.186	0.184	-0.203	-0.202	-0.173
		(0.075)	(0.114)	(0.081)	(0.127)	(0.148)	(0.125)
treat_school	treat_school	-0.041	-0.110	0.000	0.213	0.204	
		(0.066)	(0.093)	(0.000)	(0.124)	(0.137)	
top10	top10	0.151	-0.009	-0.022	0.359	0.218	0.261
		(0.068)	(0.107)	(0.096)	(0.142)	(0.122)	(0.133)
rank	Rank	-0.011	-0.003	-0.002	-0.008	0.001	0.001
		(0.004)	(0.004)	(0.005)	(0.006)	(0.005)	(0.007)
top10xrank	top10xrank	-0.017	-0.002	-0.002	-0.023	-0.009	-0.014
		(0.007)	(0.011)	(0.011)	(0.007)	(0.010)	(0.008)
treat_schoolxrank	treat_schoolxrank	0.001	0.007	0.007	-0.008	-0.007	-0.006
		(0.004)	(0.005)	(0.004)	(0.006)	(0.007)	(0.006)
treat_schoolxrankxtop10	treat_schoolxrankxtop10	-0.003	-0.006	-0.008	0.008	0.009	0.009
		(0.009)	(0.015)	(0.010)	(0.008)	(0.013)	(0.008)
immigrato_prima_gen	immigrato_prima_gen		0.006	0.011		0.011	0.022
			(0.024)	(0.029)		(0.025)	(0.037)
invalsi	invalsi		0.018	0.021		0.016	0.018
			(0.005)	(0.006)		(0.006)	(0.006)
invalsi2	invalsi2		-0.000	-0.000		-0.000	-0.000
			(0.000)	(0.000)		(0.000)	(0.000)
o.treat_school	treat_school = o,						-
							
Constant	Constant	0.668	-0.149	-0.283	0.637	-0.136	-0.084
		(0.058)	(0.177)	(0.239)	(0.140)	(0.216)	(0.282)
							
Observations		1,320	1,290	1,318	1,274	1,254	1,270
R-squared		0.097	0.157	0.255	0.144	0.205	0.286
Robust standard errors in parentheses							
